SKU,Producto,Precio neto exworks ,PVP Recomendado,Descripción,Ancho (cm),Fondo (cm),Alto (cm),Imagen
557-1563,UNIVERSAL-120 MESA CENTRO 120/COFFEE TABLE,246,390,"La mesa de centro UNIVERSAL-120 ofrece una superficie amplia y práctica para conjuntos de mayor tamaño. Su diseño limpio y estructura resistente la convierten en el complemento ideal para sofás de 3 plazas, aportando funcionalidad y equilibrio visual.",120,60,40,https://hevea.es/mpcrm/imgs/uploads/mesa%20centro%20120%20estandar.png
557-010938,SET DAMASCO 7 / 2 SEATER SOFA SET / SET CANAPÉ 2 PLACES,1610,2555,"El Set DAMASCO 7 incluye sofá de 2 plazas, sillones y mesa de centro, creando un conjunto completo y armonioso para exteriores. Diseñado para ofrecer comodidad y coherencia estética, es perfecto para terrazas que buscan un ambiente acogedor y elegante.",,,,https://hevea.es/mpcrm/imgs/uploads/1739779545_damasco%207.jpg
557-010939,SET DAMASCO 8 / 3 SEATER SOFA SET / SET CANAPÉ 3 PLACES,1843,2925,"El Set DAMASCO 8 ofrece un salón exterior amplio y sofisticado con sofá de 3 plazas, sillones y mesa de centro. Sus asientos generosos y diseño contemporáneo garantizan confort y estilo para disfrutar al aire libre.",,,,https://hevea.es/mpcrm/imgs/uploads/1739779545_damasco%208.jpg
600-010021,YINA-1 SILLON/ARMCHAIR/FAUTEUIL,498,790,El sillón YINA-1 destaca por su diseño ligero y moderno. Su estructura resistente para exterior y su asiento cómodo lo convierten en una pieza versátil ideal para terrazas actuales.,77,72,83,https://hevea.es/mpcrm/imgs/uploads/yina.jpg
600-010022,YINA-2 SOFA 2 PLAZAS/SOFÁ/CANAPÉ,728,1155,El sofá YINA de 2 plazas combina líneas estilizadas y confort en un formato compacto. Perfecto para espacios exteriores de tamaño medio que buscan modernidad y funcionalidad.,143,72,83,https://hevea.es/mpcrm/imgs/uploads/sof%C3%A1%20yina%202%20plazas.jpg
600-010023,YINA-3 SOFA 3 PLAZAS/SOFÁ/CANAPÉ,923,1465,El sofá YINA de 3 plazas ofrece amplitud y elegancia en una propuesta contemporánea. Su estructura robusta y cojines confortables garantizan comodidad y resistencia en exterior.,185,72,83,https://hevea.es/mpcrm/imgs/uploads/sof%C3%A1%20yina%203%20plazas.jpg
600-010024,YINA-70 HPL MESA CENTRO/COFFEE TABLE/TABLE CENTRE,261,415,La mesa de centro YINA-70 con tablero HPL combina diseño moderno y alta resistencia. Su superficie está preparada para soportar condiciones exteriores manteniendo su estética impecable.,70,,45,https://hevea.es/mpcrm/imgs/uploads/mesa%20centro%20yina.jpg
600-010025,YINA-5 REPOSAPIES/FOOTSTOOL/REPOSE-PIEDS,202,320,"El reposapiés YINA-5 complementa el conjunto aportando mayor comodidad. Puede utilizarse como extensión del asiento o como apoyo auxiliar, manteniendo la coherencia estética de la colección.",73,46,40,https://hevea.es/mpcrm/imgs/uploads/reposapi%C3%A9s%20yina.jpg
600-010026,YINA-7 SET SOFÁ 2 PLAZAS / 2 SEATER SOFA SET / SET CANAPÉ 2 PLACES,1988,3155,"El Set YINA 7 incluye sofá de 2 plazas, sillones y mesa de centro en un conjunto moderno y equilibrado. Ideal para crear un espacio exterior actual, cómodo y funcional.",,,,https://hevea.es/mpcrm/imgs/uploads/1739779626_yina%207.jpg
600-010027,YINA-8 SET SOFÁ 3 PLAZAS / 3 SEATER SOFA SET / SET CANAPÉ 3 PLACES,2183,3465,"El Set YINA 8 ofrece una composición amplia con sofá de 3 plazas, sillones y mesa de centro. Diseñado para aportar confort, resistencia y estilo contemporáneo en terrazas y jardines.",,,,https://hevea.es/mpcrm/imgs/uploads/1739779626_yina%208.jpg
557-010813,CUPRA-1 SILLÓN/ARMCHAIR/FAUTEUIL,529,840,"El sillón CUPRA-1 combina líneas modernas y estructura resistente para crear un asiento elegante y duradero para exterior. Sus proporciones equilibradas y cojines confortables ofrecen una experiencia de descanso cómoda, ideal para terrazas y jardines contemporáneos.",65,75,90,https://hevea.es/mpcrm/imgs/uploads/sill%C3%B3n%20individual.png
557-010814,CUPRA-2 SOFA 2 PLAZAS/SOFA/CANAPÉ,756,1200,"El sofá CUPRA de 2 plazas es perfecto para espacios exteriores de tamaño medio. Su diseño actual y su estructura robusta garantizan estabilidad y durabilidad, mientras que sus cojines amplios aportan confort y estilo.",130,75,90,https://hevea.es/mpcrm/imgs/uploads/sof%C3%A1%20cupra%202%20plazas.jpg
557-010815,CUPRA-3 SOFA 3 PLAZAS/SOFA/CANAPÉ,958,1520,"El sofá CUPRA de 3 plazas ofrece amplitud y presencia en cualquier terraza. Su diseño contemporáneo y asiento profundo proporcionan comodidad y elegancia, convirtiéndolo en el centro del espacio exterior.",185,75,90,https://hevea.es/mpcrm/imgs/uploads/mesa%20120%20est%C3%A1ndar%20cupra.png
557-010785,STANDARD-5 REPOSAPIES/FOOTSTOOL/REPOSE-PIEDS,170,270,"El reposapiés STANDARD-5 aporta un extra de comodidad al conjunto, permitiendo extender la zona de descanso o utilizarlo como asiento auxiliar. Su diseño coordinado mantiene la armonía del espacio exterior.",60,50,40,https://hevea.es/mpcrm/imgs/uploads/reposapi%C3%A9s_est%C3%A1ndar.jpg
557-010816,CUPRA-7 SET SOFÁ 2 PLAZAS / 2 SEATER SOFA SET / SET CANAPÉ 2 PLACES,1991,3160,"El Set CUPRA 7 incluye sofá de 2 plazas, sillones y mesa de centro, formando un conjunto equilibrado y elegante. Diseñado para ofrecer confort y resistencia en exterior, es ideal para crear un ambiente acogedor y moderno.",,,,https://hevea.es/mpcrm/imgs/uploads/1739542096_CUPRA%207.jpg
557-010817,CUPRA-8 SET SOFÁ 3 PLAZAS / 3 SEATER SOFA SET / SET CANAPÉ 3 PLACES,2262,3590,"El Set CUPRA 8 ofrece una composición amplia con sofá de 3 plazas, sillones y mesa de centro. Su diseño contemporáneo y asientos cómodos lo convierten en una solución perfecta para terrazas sofisticadas.",,,,https://hevea.es/mpcrm/imgs/uploads/1739542096_CUPRA%208.jpg
557-1089,BELLAGIO-1 SILLÓN/ARMCHAIR/FAUTEUIL,413,655,"El sillón BELLAGIO-1 destaca por su diseño elegante y proporciones envolventes. Pensado para exterior, combina estructura resistente y confort en una pieza ideal para crear rincones relajados con estilo.",75,75,82,https://hevea.es/mpcrm/imgs/uploads/sillon%20bellagio%201.jpg
557-1090,BELLAGIO-3 SOFA 3 PLAZAS/SOFA/CANAPÉ,775,1230,"El sofá BELLAGIO de 3 plazas aporta amplitud y carácter al espacio exterior. Con asiento profundo y diseño equilibrado, crea un ambiente acogedor ideal para reuniones y momentos de relax.",198,75,82,https://hevea.es/mpcrm/imgs/uploads/bellagio%203%20plazas.png
557-1091,BELLAGIO-2 SOFA 2 PLAZAS/SOFA/CANAPÉ,548,870,El sofá BELLAGIO de 2 plazas ofrece una combinación perfecta entre sofisticación y comodidad. Su diseño contemporáneo y cojines generosos aportan elegancia y confort en terrazas modernas.,150,75,82,https://hevea.es/mpcrm/imgs/uploads/bellagio%202%20plazas.png
557-1092,BELLAGIO-4 MESA CENTRO 125,195,310,"La mesa de centro BELLAGIO 125 complementa el conjunto con una superficie amplia y diseño armonioso. Resistente y funcional, es perfecta para completar salones exteriores con estilo.",125,60,38,https://hevea.es/mpcrm/imgs/uploads/mesa%20bellagio%20de%20centro.jpg
557-1094,BELLAGIO-7 SET SOFÁ 2 PLAZAS / 2 SEATER SOFA SET / SET CANAPÉ 2 PLACES,1569,2490,"El Set BELLAGIO 7 incluye sofá de 2 plazas, sillones y mesa de centro, creando un espacio exterior elegante y cómodo. Ideal para terrazas que buscan equilibrio entre diseño y funcionalidad.",,,,https://hevea.es/mpcrm/imgs/uploads/1739542760_BELLAGIO_9_N25_IA.jpg
557-1095,BELLAGIO-8 SET SOFÁ 3 PLAZAS / 3 SEATER SOFA SET / SET CANAPÉ 3 PLACES,1796,2850,"El Set BELLAGIO 8 ofrece un salón exterior amplio con sofá de 3 plazas, sillones y mesa de centro. Su diseño sofisticado y confortable convierte cualquier terraza en un espacio acogedor.",,,,https://hevea.es/mpcrm/imgs/uploads/1739542760_BELLAGIO_10_025_IA.jpg
600-010090,CLOE-1 SILLON/ARMCHAIR/FAUTEUIL,507,805,El sillón CLOE-1 combina ligereza visual y comodidad en una pieza moderna para exterior. Su estructura resistente y asiento confortable lo convierten en un complemento perfecto para terrazas actuales.,70,64,69,https://hevea.es/mpcrm/imgs/uploads/sillon%20individual%20cloe.png
600-010091,CLOE SOFA 2 PLAZAS/SOFA/CANAPÉ,721,1145,"El sofá CLOE de 2 plazas ofrece un diseño contemporáneo y acogedor. Ideal para espacios exteriores de tamaño medio, proporciona comodidad y estilo en cualquier terraza.",162,64,69,https://hevea.es/mpcrm/imgs/uploads/sof%C3%A1%20de%202%20plazas%20cloe.png
600-010092,CLOE SOFA 3 PLAZAS/SOFA/CANAPÉ,999,1585,El sofá CLOE de 3 plazas destaca por su amplitud y diseño elegante. Sus cojines cómodos y estructura sólida lo convierten en el protagonista perfecto del salón exterior.,220,64,69,https://hevea.es/mpcrm/imgs/uploads/sofa%20de%203%20plazas%20clone.png
600-010093,CLOE-5 REPOSAPIES/FOOTSTOOL/REPOSE-PIEDS,98,155,"El reposapiés CLOE-5 añade un extra de confort al conjunto, permitiendo extender la zona de descanso o utilizarlo como asiento auxiliar manteniendo la coherencia estética.",50,45,40,https://hevea.es/mpcrm/imgs/uploads/reposapi%C3%A9s%20cloe.png
557-011090,ODIN-1 SILLON/ARMCHAIR/FAUTEUIL,268,425,"El sillón ODIN-1 combina diseño contemporáneo y estructura resistente para crear un asiento cómodo y elegante en exteriores. Sus líneas modernas y cojines confortables ofrecen una experiencia de descanso relajada, ideal para terrazas y jardines actuales.",65,66,78,https://hevea.es/mpcrm/imgs/uploads/sillon%20odin.jpg
557-011091,ODIN-2 SOFA 2 PLAZAS/SOFA/CANAPÉ,454,720,"El sofá ODIN de 2 plazas es perfecto para espacios exteriores de tamaño medio. Su diseño equilibrado y su estructura robusta garantizan estabilidad y durabilidad, mientras que sus cojines amplios aportan confort y estilo.",120,66,78,https://hevea.es/mpcrm/imgs/uploads/odin%202%20plazas.jpg
557-011092,ODIN-3 SOFA 3 PLAZAS/SOFA/CANAPÉ,595,945,El sofá ODIN de 3 plazas aporta amplitud y presencia en cualquier terraza. Su asiento profundo y diseño moderno lo convierten en el protagonista ideal para crear un salón exterior cómodo y sofisticado.,175,66,78,https://hevea.es/mpcrm/imgs/uploads/odin%203%20plazas.jpg
557-011075,SAIPROS-90 MESA CENTRO 90/COFFEE TABLE/TABLE CENTRE,176,280,"La mesa de centro SAIPROS-90 destaca por su formato compacto y funcional. Resistente y preparada para exterior, es ideal para completar conjuntos modernos aportando superficie de apoyo práctica y elegante.",90,50,41,https://hevea.es/mpcrm/imgs/uploads/mesa%20saipros%2090.jpg
557-011076,SAIPROS-120 MESA CENTRO 120/COFFEE TABLE/TABLE CENTRE,246,390,La mesa SAIPROS-120 ofrece una superficie amplia perfecta para conjuntos de mayor tamaño. Su diseño limpio y estructura sólida garantizan resistencia y armonía estética en terrazas contemporáneas.,120,60,41,https://hevea.es/mpcrm/imgs/uploads/mesa%20120%20odin.jpg
557-011094,ODIN-7 SET SOFÁ 2 PLAZAS / 2 SEATER SOFA SET / SET CANAPÉ 2 PLACES,1166,1850,"El Set ODIN 7 incluye sofá de 2 plazas, sillones y mesa de centro, creando un conjunto completo y equilibrado. Diseñado para aportar comodidad y estilo en exterior, es ideal para terrazas acogedoras y modernas.",,,,https://hevea.es/mpcrm/imgs/uploads/odin%207.png
557-011095,ODIN-8 SET SOFÁ 3 PLAZAS / 3 SEATER SOFA SET / SET CANAPÉ 3 PLACES,1377,2185,"El Set ODIN 8 ofrece una composición amplia con sofá de 3 plazas, sillones y mesa de centro. Su diseño contemporáneo y asientos cómodos lo convierten en una solución perfecta para crear un salón exterior elegante.",,,,https://hevea.es/mpcrm/imgs/uploads/set%20odin%208.png
557-010726,ALBANIA-1 SILLON/ARMCHAIR/FAUTEUIL,312,495,"El sillón ALBANIA-1 destaca por su diseño actual y líneas definidas. Fabricado para uso exterior, combina resistencia estructural y comodidad en una pieza versátil ideal para terrazas modernas.",76,70,100,https://hevea.es/mpcrm/imgs/uploads/sillon%20albania.jpg
557-010727,ALBANIA-2 SOFA 2 PLAZAS/SOFA/CANAPÉ,495,785,El sofá ALBANIA de 2 plazas ofrece confort y estilo en un formato compacto. Su estructura sólida y cojines confortables garantizan una experiencia agradable al aire libre.,145,70,100,https://hevea.es/mpcrm/imgs/uploads/albania%20%20(2).jpg
557-010728,ALBANIA-3 SOFA 3 PLAZAS/SOFA/CANAPÉ,627,995,"El sofá ALBANIA de 3 plazas aporta amplitud y elegancia al espacio exterior. Con asiento profundo y diseño equilibrado, es ideal para crear ambientes acogedores y sofisticados.",212,70,100,https://hevea.es/mpcrm/imgs/uploads/albania%20%20(1).jpg
557-010729,ALBANIA-7 SET SOFÁ 2 PLAZAS / 2 SEATER SOFA SET / SET CANAPÉ 2 PLACES,1465,2325,"El Set ALBANIA 7 incluye sofá de 2 plazas, sillones y mesa de centro, formando un conjunto armonioso y funcional. Ideal para crear terrazas elegantes con un equilibrio perfecto entre diseño y comodidad.",,,,https://hevea.es/mpcrm/imgs/uploads/1739535555_ALBANIA_09.jpg
557-010730,ALBANIA-8 SET SOFÁ 3 PLAZAS / 3 SEATER SOFA SET / SET CANAPÉ 3 PLACES,1635,2595,"El Set ALBANIA 8 ofrece un salón exterior amplio y sofisticado con sofá de 3 plazas, sillones y mesa de centro. Diseñado para disfrutar del aire libre con máximo confort.",,,,https://hevea.es/mpcrm/imgs/uploads/1739535555_ALBANIA-10.jpg
557-0185,STANDARD 55-XL STANDARD XL REPOSAPIES,186,295,"El reposapiés STANDARD-XL añade un extra de confort al conjunto, permitiendo extender la zona de descanso o utilizarlo como asiento auxiliar. Su diseño mantiene la coherencia estética del espacio exterior.",85,50,43,https://hevea.es/mpcrm/imgs/uploads/sillon%20albania.jpg
557-010478,BOLONIA XL-1 SILLÓN/ARMCHAIR/CANAPÉ,529,840,"El sillón BOLONIA XL-1 destaca por su formato generoso y diseño moderno. Pensado para exterior, combina resistencia y comodidad en una pieza elegante y versátil.",80,84,104,https://hevea.es/mpcrm/imgs/uploads/bolonia%20xl%20(3).jpg
557-010479,BOLONIA XL-2 SOFA 2 PLAZAS/SOFA/CANAPÉ,822,1305,El sofá BOLONIA XL de 2 plazas ofrece una sentada amplia y confortable con un diseño contemporáneo. Ideal para terrazas que buscan equilibrio entre estilo y funcionalidad.,164,84,104,https://hevea.es/mpcrm/imgs/uploads/bolonia%20xl.jpg
557-010480,BOLONIA XL-3 SOFA 3 PLAZAS/SOFA/CANAPÉ,1096,1740,El sofá BOLONIA XL de 3 plazas aporta amplitud y presencia al espacio exterior. Sus cojines confortables y estructura sólida garantizan una experiencia de descanso superior.,215,84,104,https://hevea.es/mpcrm/imgs/uploads/bolonia%20xl%20(2).jpg
557-0008,BOLONIA-4 MESA CENTRO-125X65X42,296,470,La mesa de centro BOLONIA 125x65x42 combina diseño moderno y funcionalidad. Su tamaño amplio la convierte en el complemento ideal para conjuntos de gran formato.,125,65,42,https://hevea.es/mpcrm/imgs/uploads/mesa%20bolonia%20centro.png
557-010482,STANDARD-XL REPOSAPIES/FOOTSTOOL/REPOSE-PIEDS,214,340,El reposapiés STANDARD-XL complementa el conjunto aportando mayor comodidad y versatilidad. Puede utilizarse como extensión del asiento o como apoyo auxiliar manteniendo la estética del conjunto.,85,50,43,https://hevea.es/mpcrm/imgs/uploads/bolonia%20xl%20(3).jpg
557-0793,BOLONIA XL-7 SET SOFA 2 PLAZAS/SOFA/CANAPÉ,2174,3450,"El Set BOLONIA XL 7 incluye sofá de 2 plazas, sillones y mesa de centro, creando un espacio exterior amplio y elegante. Perfecto para terrazas modernas que buscan confort y diseño.",,,,https://hevea.es/mpcrm/imgs/uploads/bolonia%20xl%20%20(2).png
557-010483,BOLONIA XL-8 SET SOFA 3 PLAZAS/SOFA/CANAPÉ,2451,3890,"El Set BOLONIA XL 8 ofrece una composición completa con sofá de 3 plazas, sillones y mesa de centro. Diseñado para aportar amplitud, resistencia y sofisticación en jardines y terrazas.",,,,https://hevea.es/mpcrm/imgs/uploads/bolonia%20xl%20%20(1).png
558-0051,DIVA-1 BICOLOR SILLON/ARMCHAIR/FAUTEUIL,491,780,"El sillón DIVA-1 Bicolor destaca por su diseño contemporáneo con acabado en doble tonalidad que aporta personalidad y sofisticación al espacio exterior. Su estructura resistente y cojines confortables ofrecen estabilidad y una experiencia de descanso cómoda, ideal para terrazas modernas.",73,70,76,https://hevea.es/mpcrm/imgs/uploads/sillon%20bicolor%20diva.jpg
558-0070,DIVA-2 BICOLOR SOFA 2 PLAZAS/SOFA/CANAPÉ,709,1125,"El sofá DIVA Bicolor de 2 plazas combina elegancia y contraste cromático en una pieza moderna y equilibrada. Perfecto para terrazas de tamaño medio, ofrece comodidad gracias a sus cojines amplios y estructura sólida preparada para exterior.",140,70,76,https://hevea.es/mpcrm/imgs/uploads/sofa%20diva%20bicolor.jpg
558-0052,DIVA-3 BICOLOR SOFA 3 PLAZAS/SOFA/CANAPÉ,876,1390,"El sofá DIVA Bicolor de 3 plazas aporta amplitud y estilo al salón exterior. Su diseño en doble color crea un efecto visual sofisticado, mientras que su asiento profundo y confortable invita al relax y a largas reuniones al aire libre.",200,70,76,https://hevea.es/mpcrm/imgs/uploads/sofa%20diva%203%20plazas.jpg
558-0033,BICOLOR MESA CENTRO 120,372,590,"La mesa de centro Bicolor 120 con tablero HPL combina resistencia y diseño moderno. Su superficie amplia y duradera está preparada para uso exterior, ofreciendo funcionalidad y un acabado elegante que complementa el conjunto DIVA.",120,60,40,https://hevea.es/mpcrm/imgs/uploads/mesa%20de%20centro%20diva%20120.png
558-0039,BICOLOR MESA CENTRO 135,435,690,"La mesa de centro Bicolor 135 HPL destaca por su mayor superficie y presencia visual. Ideal para conjuntos amplios, aporta estabilidad, resistencia y un diseño actual perfecto para terrazas sofisticadas.",135,60,40,https://hevea.es/mpcrm/imgs/uploads/mesa%20de%20centro%20diva%20135.jpg
558-0049,BICOLOR STANDARD-55 REPOSAPIES,265,420,El reposapiés Bicolor STANDARD-55 complementa el conjunto aportando mayor comodidad y versatilidad. Puede utilizarse como extensión del asiento o como apoyo auxiliar manteniendo la coherencia estética del diseño bicolor.,70,45,44,https://hevea.es/mpcrm/imgs/uploads/sillon%20bicolor%20diva.jpg
558-0066,DIVA-7 BICOLOR SET SOFA 2 PLAZAS,2063,3275,"El Set DIVA 7 Bicolor incluye sofá de 2 plazas, sillones y mesa de centro, formando una composición moderna y equilibrada. Su diseño en doble tonalidad aporta personalidad mientras garantiza confort y resistencia en exterior.",,,,https://hevea.es/mpcrm/imgs/uploads/1739540503_DIVA-7.jpg
558-0050,DIVA-8 BICOLOR SET SOFA 3 PLAZAS,2293,3640,"El Set DIVA 8 Bicolor ofrece una solución completa con sofá de 3 plazas, sillones y mesa de centro. Amplio, elegante y confortable, transforma cualquier terraza en un espacio exterior sofisticado.",,,,https://hevea.es/mpcrm/imgs/uploads/1739540503_DIVA_N24.jpg
557-010716,LEISA-1,334,530,El sillón LEISA-1 combina líneas modernas y confort en una pieza ligera y versátil. Su estructura resistente y asiento cómodo lo convierten en una opción ideal para crear rincones acogedores en exteriores actuales.,76,80,85,https://hevea.es/mpcrm/imgs/uploads/leisa%20sillon.jpg
557-010717,LEISA-2,473,750,"El sofá LEISA de 2 plazas ofrece equilibrio entre diseño y funcionalidad. Perfecto para terrazas de tamaño medio, proporciona comodidad y una estética contemporánea preparada para el uso exterior.",137,80,85,https://hevea.es/mpcrm/imgs/uploads/leisa%202%20plazas.jpg
557-010718,LEISA-3,611,970,El sofá LEISA de 3 plazas aporta amplitud y elegancia al espacio exterior. Sus cojines confortables y su estructura sólida garantizan una experiencia de descanso cómoda y duradera.,196,80,85,https://hevea.es/mpcrm/imgs/uploads/leisa%20sofa%203%20plazas.jpg
557-010719,LEISA-7,1320,2095,"El Set LEISA 7 incluye sofá de 2 plazas, sillones y mesa de centro en una composición armoniosa y moderna. Ideal para crear terrazas acogedoras con diseño contemporáneo.",,,,https://hevea.es/mpcrm/imgs/uploads/1739541782_leisa%207.jpg
557-010720,LEISA-8,1509,2395,"El Set LEISA 8 ofrece un conjunto amplio con sofá de 3 plazas, sillones y mesa de centro. Diseñado para aportar confort, resistencia y estilo en jardines y terrazas actuales.",,,,https://hevea.es/mpcrm/imgs/uploads/1739541782_LEISA_8.jpg
557-010103,DOUNVIL-1,302,480,"El sillón DOUNVIL-1 destaca por su diseño actual y confortable, ideal para espacios exteriores modernos. Su estructura resistente y asiento acogedor proporcionan estabilidad y comodidad.",70,80,85,https://hevea.es/mpcrm/imgs/uploads/dounvil%20sillon.jpg
557-010104,DOUNVIL-2,473,750,El sofá DOUNVIL de 2 plazas ofrece una solución compacta y elegante para terrazas de tamaño medio. Sus líneas limpias y cojines cómodos lo convierten en una opción funcional y atractiva.,150,80,85,https://hevea.es/mpcrm/imgs/uploads/dounvil%202%20plazas.jpg
557-010105,DOUNVIL-3,611,970,El sofá DOUNVIL de 3 plazas aporta amplitud y presencia en el salón exterior. Su diseño equilibrado y confortable crea un ambiente relajado perfecto para compartir momentos al aire libre.,190,80,85,https://hevea.es/mpcrm/imgs/uploads/dounvil%203%20plazas.jpg
557-010106,DOUNVIL-7,1251,1985,"El Set DOUNVIL 7 incluye sofá de 2 plazas, sillones y mesa de centro en una composición equilibrada y moderna. Diseñado para aportar confort y resistencia en exteriores, es ideal para crear terrazas acogedoras con un estilo contemporáneo.",,,,https://hevea.es/mpcrm/imgs/uploads/1739543239_dounvil%207.jpg
557-010107,DOUNVIL-8,1446,2295,"El Set DOUNVIL 8 ofrece una solución amplia y elegante con sofá de 3 plazas, sillones y mesa de centro. Perfecto para quienes buscan un salón exterior cómodo, funcional y con presencia.",,,,https://hevea.es/mpcrm/imgs/uploads/1739543239_dounvil%208.jpg
557-1070,MESA CENTRO 90,173,275,La mesa de centro 90 combina funcionalidad y diseño moderno en un formato compacto. Ideal para acompañar sofás y sillones de exterior aportando superficie práctica sin sobrecargar el espacio.,90,50,40,https://hevea.es/mpcrm/imgs/uploads/dounvil%202%20plazas.jpg
557-1563,MESA CENTRO 120,230,365,La mesa de centro 120 ofrece una superficie amplia y resistente para completar conjuntos de exterior. Su diseño sencillo y contemporáneo aporta equilibrio y funcionalidad al espacio.,120,60,40,https://hevea.es/mpcrm/imgs/uploads/dounvil%203%20plazas.jpg
557-0794,HASTON-1,290,460,"El sillón HASTON-1 destaca por su diseño actual y confortable, ideal para crear rincones relajados en terrazas y jardines. Su estructura resistente y cojines acogedores garantizan estabilidad y comodidad en exterior.",68,62,115,https://hevea.es/mpcrm/imgs/uploads/reposapies%20haston.jpg
557-0795,HASTON-2,473,750,"El sofá HASTON de 2 plazas combina líneas modernas y confort en un formato compacto. Ideal para espacios exteriores de tamaño medio, ofrece una sentada cómoda y duradera.",128,62,115,https://hevea.es/mpcrm/imgs/uploads/sofa%20dos%20plazas%20haston.jpg
